step,total_loss_mean,training_success_rate,action_saturation_ratio,hidden_dynamics_separation_ratio,rdac_actor_head_grad_norm_before_clip,rdac_actor_head_grad_norm_after_clip
0,0.70952,0.25,0.0195312,0.591966,6.10771,6.10771
100,1.13972,0,0.03125,1.22469,12.9657,12.9657
200,10.8799,0,0.125,0.356845,175.715,99.0861
300,16.629,0,0.226562,0.623764,168.783,99.0967
400,0.377142,0.5,0,1.21483,3.78435,3.78435
500,1.11353,0.5,0.0234375,1.04341,21.1689,21.1689
600,1.14478,0.25,0,1.4289,34.6352,34.6352
700,3.77963,0,0.078125,1.56965,69.7371,69.7371
800,0.191076,0.75,0,2.37257,1.34676,1.34676
900,0.151768,1,0,0.981352,3.36627,3.36627
1000,0.378008,0.25,0,1.33407,10.93,10.93
1100,0.275771,0.75,0,2.55789,9.47849,9.47849
1200,0.224636,1,0,3.82796,1.78337,1.78337
1300,0.269172,0.75,0,2.4565,5.12123,5.12123
1400,0.483244,0.25,0.015625,2.59599,11.1649,11.1649
1500,0.360641,0.25,0,1.93937,14.8567,14.8567
1600,0.0959783,1,0,3.16188,0.558667,0.558667
1700,0.119028,1,0,2.2389,1.52138,1.52138
1800,0.183036,1,0,1.65518,4.99494,4.99494
1900,0.507316,0.5,0.0429688,2.0658,14.6622,14.6622
2000,0.104486,0.5,0,3.14762,0.353929,0.353929
2100,0.197962,1,0,1.14759,3.7171,3.7171
2200,0.17387,1,0,2.15831,4.25376,4.25376
2300,0.191109,0.75,0,1.57245,6.23012,6.23012
2400,0.129743,1,0,2.14815,1.24085,1.24085
2500,0.130487,0.75,0,1.71371,2.60657,2.60657
2600,0.18499,1,0,2.29343,2.32545,2.32545
2700,0.174347,1,0,0.642383,7.67734,7.67734
2800,0.133206,0.75,0,2.40539,1.07979,1.07979
2900,0.144035,1,0,3.43234,1.02467,1.02467
3000,0.247692,0.5,0,2.32631,7.77672,7.77672
3100,0.167395,1,0,0.888414,6.51781,6.51781
3200,0.0781391,1,0,3.75127,0.384382,0.384382
3300,0.171086,1,0,1.67116,2.67423,2.67423
3400,0.118417,1,0,0.328827,1.91862,1.91862
3500,0.306104,0.5,0,0.738491,13.8674,13.8674
3600,0.0904608,1,0,2.28514,0.591067,0.591067
3700,0.420176,0.75,0,5.04768,9.76706,9.76706
3800,0.130306,0.5,0,1.68078,1.68626,1.68626
3900,0.286811,0.75,0,3.86103,8.26594,8.26594
4000,0.0904349,1,0,2.00071,0.390073,0.390073
4100,0.0967307,0.75,0,1.6466,0.850271,0.850271
4200,0.160188,1,0,0.970086,2.4441,2.4441
4300,0.129498,1,0,0.513932,3.26409,3.26409
4400,0.113556,1,0,1.7943,0.516562,0.516562
4500,0.0902108,1,0,1.03411,0.953082,0.953082
4600,0.174474,0.75,0,3.81141,4.079,4.079
4700,0.184293,0.75,0,1.51928,5.72484,5.72484
4800,0.0781824,1,0,0.514852,0.209927,0.209927
4900,0.16222,1,0,3.05022,2.28198,2.28198
5000,0.102611,1,0,0.620144,1.279,1.279
5100,0.280982,0.75,0.015625,1.47477,12.0924,12.0924
5200,0.0885311,1,0,1.95949,0.287332,0.287332
5300,0.193014,0.75,0,2.40245,3.80233,3.80233
5400,0.105475,1,0,0.58315,1.0342,1.0342
5500,0.217072,1,0.0117188,2.71242,5.26488,5.26488
5600,0.112512,1,0,2.34762,1.31124,1.31124
5700,0.0788549,0.75,0,1.59709,0.350414,0.350414
5800,0.136021,0.5,0,1.5194,2.35931,2.35931
5900,0.0967195,1,0,0.815652,1.38014,1.38014
6000,0.108318,1,0,2.21504,0.705888,0.705888
6100,0.0727424,1,0,0.730954,0.933623,0.933623
6200,0.129504,1,0,1.8046,1.77924,1.77924
6300,0.17976,1,0,0.670244,6.63171,6.63171
6400,0.0542051,1,0,1.15197,0.186702,0.186702
6500,0.118034,1,0,2.52968,1.51959,1.51959
6600,0.0878994,1,0,0.845621,1.42703,1.42703
6700,0.108848,1,0,0.788965,2.33266,2.33266
6800,0.095879,1,0,1.60909,0.362814,0.362814
6900,0.202526,0.75,0,1.59268,4.98018,4.98018
7000,0.130392,1,0,0.734442,3.73972,3.73972
7100,0.176189,1,0,2.02252,4.23028,4.23028
7200,0.103546,1,0,1.1873,0.864521,0.864521
7300,0.0702155,1,0,0.674201,0.794746,0.794746
7400,0.105209,1,0,0.71066,2.28896,2.28896
7500,0.107399,1,0,0.765479,1.76244,1.76244
7600,0.0598662,1,0,0.625588,0.273383,0.273383
7700,0.0768998,1,0,1.07914,0.642444,0.642444
7800,0.103579,1,0,0.944136,3.10202,3.10202
7900,0.20012,0.75,0,0.704609,13.2183,13.2183
8000,0.0619178,0.75,0,0.369443,0.395639,0.395639
8100,0.130497,0.75,0,1.54561,3.12192,3.12192
8200,0.0937682,1,0,0.529961,1.49279,1.49279
8300,0.180305,1,0,0.563917,4.96316,4.96316
8400,0.0779816,0.5,0,0.91402,0.115171,0.115171
8500,0.123409,1,0,0.948892,2.31768,2.31768
8600,0.0727665,0.75,0,0.377611,0.962583,0.962583
8700,0.151171,0.75,0,0.785907,1.47457,1.47457
8800,0.0771108,1,0,0.631591,0.755503,0.755503
8900,0.0550528,1,0,0.352853,0.459719,0.459719
9000,0.0562335,1,0,0.667117,0.968844,0.968844
9100,0.091874,1,0,0.285969,1.94126,1.94126
9200,0.0999394,0.75,0,1.01856,0.888149,0.888149
9300,0.0675956,1,0,1.32814,0.818351,0.818351
9400,0.0988025,1,0,1.92498,1.61484,1.61484
9500,0.225919,1,0,0.486838,6.57766,6.57766
9600,0.0319523,1,0,0.508554,0.10807,0.10807
9700,0.0921264,1,0,0.668282,1.47964,1.47964
9800,0.128945,1,0,0.342795,2.78032,2.78032
9900,0.119881,1,0,0.42112,4.55404,4.55404
10000,0.0764335,1,0,0.38238,0.77566,0.77566
10100,0.0510619,1,0,0.511741,0.857863,0.857863
10200,0.0849235,1,0,0.417216,1.40196,1.40196
10300,0.117565,0.75,0,0.59813,1.46524,1.46524
10400,0.0580587,1,0,0.154617,0.160454,0.160454
10500,0.0699457,0.5,0,0.293465,0.357459,0.357459
10600,0.0621285,1,0,0.498555,0.589267,0.589267
10700,0.0956666,0.25,0,0.189486,2.51173,2.51173
10800,0.0811775,1,0,0.604826,0.50766,0.50766
10900,0.0559871,1,0,0.36444,0.430504,0.430504
11000,0.134096,0.75,0,0.900384,4.49308,4.49308
11100,0.182973,1,0,0.34864,3.87501,3.87501
11200,0.0525031,0.75,0,0.211499,0.164295,0.164295
11300,0.0602211,1,0,0.677247,0.778907,0.778907
11400,0.0583303,0.75,0,0.219947,0.542733,0.542733
11500,0.126808,1,0,0.553063,6.02359,6.02359
11600,0.0392795,1,0,0.585364,0.191148,0.191148
11700,0.137463,0.75,0,1.28696,3.42763,3.42763
11800,0.0801236,1,0,0.311783,0.594776,0.594776
11900,0.184641,1,0,0.985963,2.95041,2.95041
12000,0.0694573,0.75,0,0.333436,0.497381,0.497381
12100,0.0588684,1,0,0.329302,0.46627,0.46627
12200,0.134426,0.5,0,0.485678,2.35048,2.35048
12300,0.078694,1,0,0.228303,1.63101,1.63101
12400,0.0648337,1,0,0.870793,0.622865,0.622865
12500,0.0678562,1,0,0.287053,0.478432,0.478432
12600,0.115152,1,0,0.795713,1.80533,1.80533
12700,0.140985,1,0,0.453737,3.44203,3.44203
12800,0.0560501,1,0,0.232709,0.187611,0.187611
12900,0.0802399,0.75,0,0.459561,0.842921,0.842921
13000,0.0664057,0.75,0,0.131984,0.676014,0.676014
13100,0.290673,0.5,0,0.708665,6.22014,6.22014
13200,0.0623927,1,0,0.468372,0.498292,0.498292
13300,0.114919,0.25,0,0.534061,1.44134,1.44134
13400,0.0666932,1,0,0.379904,0.593575,0.593575
13500,0.147897,0.75,0,1.16617,2.59363,2.59363
13600,0.0397493,1,0,0.428954,0.42401,0.42401
13700,0.0654416,0.75,0,0.307659,0.398448,0.398448
13800,0.0748264,1,0,0.63467,0.974377,0.974377
13900,0.145332,1,0,0.374712,6.19442,6.19442
14000,0.123418,0.75,0,0.325055,1.93304,1.93304
14100,0.0477207,1,0,0.168277,0.386166,0.386166
14200,0.0928209,1,0,0.633965,2.36625,2.36625
14300,0.11132,1,0,0.332768,3.35999,3.35999
14400,0.0297513,1,0,0.145273,0.170116,0.170116
14500,0.0664212,1,0,0.730396,0.855245,0.855245
14600,0.042867,1,0,0.227068,0.45942,0.45942
14700,0.133914,1,0,0.503132,3.4185,3.4185
14800,0.0442342,1,0,0.360366,0.219236,0.219236
14900,0.0609675,1,0,0.496726,1.23632,1.23632
15000,0.0455928,1,0,0.280758,0.53119,0.53119
15100,0.132401,0.75,0,0.871538,2.02159,2.02159
15200,0.0408529,1,0,0.333708,0.149262,0.149262
15300,0.053175,1,0,0.155081,0.318467,0.318467
15400,0.101915,1,0,0.501587,2.97405,2.97405
15500,0.103099,1,0,0.236876,2.3167,2.3167
15600,0.0500619,1,0,0.405566,0.337274,0.337274
15700,0.0512469,1,0,0.439165,0.457587,0.457587
15800,0.11222,1,0,0.958988,1.90567,1.90567
15900,0.091251,1,0,0.25309,0.729541,0.729541
16000,0.0275908,1,0,0.143293,0.192719,0.192719
16100,0.0733412,0.75,0,0.506849,0.934618,0.934618
16200,0.0673249,0.75,0,0.0735176,0.381561,0.381561
16300,0.094538,1,0,0.244759,1.99164,1.99164
16400,0.0582948,0.5,0,0.2635,0.127829,0.127829
16500,0.0861635,1,0,0.932214,2.1929,2.1929
16600,0.104313,0.75,0,0.345953,1.6271,1.6271
16700,0.111982,0.75,0,0.929584,0.620166,0.620166
16800,0.0591016,1,0,0.359932,0.325177,0.325177
16900,0.0478339,0.75,0,0.203972,0.137127,0.137127
17000,0.0515131,1,0,0.498773,0.543604,0.543604
17100,0.0652502,0.75,0,0.183933,0.82807,0.82807
17200,0.0420456,1,0,0.19712,0.119867,0.119867
17300,0.0497517,0.75,0,0.304278,0.399792,0.399792
17400,0.141044,0.5,0,0.316935,1.84555,1.84555
17500,0.112097,1,0,0.399335,1.13341,1.13341
17600,0.0467184,0.75,0,0.325936,0.108986,0.108986
17700,0.101786,1,0,0.834917,1.39249,1.39249
17800,0.0559897,1,0,0.24093,0.508521,0.508521
17900,0.1143,1,0,0.532599,3.34771,3.34771
18000,0.0452532,1,0,0.223826,0.429584,0.429584
18100,0.07796,0.75,0,0.876518,1.44023,1.44023
18200,0.113402,0.75,0,0.288003,1.38624,1.38624
18300,0.115085,1,0,0.641042,2.65529,2.65529
18400,0.0644381,1,0,0.229886,0.479878,0.479878
18500,0.0371953,1,0,0.130432,0.148102,0.148102
18600,0.113035,0.75,0,0.546846,0.961798,0.961798
18700,0.0644008,1,0,0.268098,0.817602,0.817602
18800,0.0730052,1,0,0.639302,0.50288,0.50288
18900,0.0512109,0.75,0,0.214222,0.292615,0.292615
19000,0.138816,1,0,0.583439,3.32789,3.32789
19100,0.145076,0.5,0,0.137128,1.31703,1.31703
19200,0.0352067,1,0,0.0635604,0.108836,0.108836
19300,0.0767652,1,0,0.380745,1.37142,1.37142
19400,0.0483613,1,0,0.384123,0.377227,0.377227
19500,0.154001,1,0,0.458603,3.22107,3.22107
19600,0.0397567,0.75,0,0.186869,0.300443,0.300443
19700,0.0757511,1,0,0.356969,1.94779,1.94779
19800,0.0819904,0.75,0,0.121408,0.238143,0.238143
19900,0.17544,1,0,0.389682,4.19043,4.19043
19999,0.0858961,0.25,0,0.113725,0.342132,0.342132
